goTerm,Biological.function,Cluster.number,pvalue,size,Genes
GO:0000122,negative regulation of transcription from RNA polymerase II promoter ,Cluster_3,0.004616203,54,TCERG1;ZNF174;EHMT2;ZMYND8;ENO1;SLA2;RBPJ;NOC2L;BACH1;UXT;RPS14;KAT5;MYC;MYB;HOXA7;TP63;MEF2A;ZNF281;DICER1;DKK1;RUNX3;THAP1;EID1;TCERG1L;EZR;UBA52;TP53;CGGBP1;CTBP1;CTR9;PDGFB;GATA6;SUPT4H1;NEDD4L;TWIST1;RTF1;ZBTB5;ZBTB4;MTDH;ZBTB2;HIVEP1;ALX1;ZNF148;ZNF268;RREB1;LYAR;HEXIM2;CREBBP;ZNF263;JUND;PLK1;PDE2A;NR1D2;NR2F2;NR1D1;THAP11;POU6F1;SMARCA4;SNW1;H2AFY2;REL;SNAI2;PAF1;CALR;RCOR3;ZNF136;HOXD9;CC2D1A;TP73;ZNF254;SUV39H2;FOXE1;TCF25;SUV39H1;AKR1B1;VLDLR;BMI1;PHF6;N4BP2L2;GLI3;GLI2;NIPBL;HEY1;C1QBP;SUFU;MLX;NELFB;BATF3;EDN1;ZHX2;PROX2;SIRT7;ZHX1;SIRT2;SREBF2;AES;NCOR2;RNF168;GCFC2;ZEB2;ZEB1;NCOR1;RARB;AHRR;PPARG;PPARA;MDFI;PPARD;KANK2;FOXC1;ZNF350;SATB1;NR1I2;GPS2;RELB;CUX2;RXRA;NFIL3;CUX1;TCEAL1;HSF1;APBB1;TBL1X;RPS27A;ZNF224;MBD4;WWOX;USP9X;MBD1;NR1H2;STAT3;MBD2;DAB2IP;NR1H3;GATAD2A;VEGFA;MAD2L2;GFI1B;NR6A1;PER3;NFIA;NFIB;NEDD4;ZNF219;ZNF217;HDGF;FRK;ZNF451;KDM1A;WWC1;UBE2D3;PRDM5;ATN1;UBE2D1;PRDM1;NR3C1;ARHGAP35;ETS2;LOXL2;YY1;ZFP36;CHCHD3;WWC3;EP300;ZNF568;ZNF567;ZNF202;ZNF564;MEN1;OSR2;MLIP;KDM2B;USP2;ZBTB32;ARID5A;SARS;KCTD1;MITF;BRMS1;TBL1XR1;ERF;ZNF675;PPID;HOMEZ;PSMD10;DLX1;DDX5;CREM;GLIS3;AEBP1;PHB;PSEN1;HOXB13;PHF21A;GLIS1;HMBOX1;UBB;TPR;UBC;SMYD2;SUDS3;DMAP1;SKIL;MAP2K5;BPTF;TFAP2A;CBX8;CBX7;DR1;ZFHX3;UBE2I;SMAD3;CBX5;CBX4;SMURF2;WFS1;VDR;PHF12;PTCH1;CAV1;CBX2;SUPT5H;NFKB1;BMP6;NFKB2;SMAD7;DRAP1;EFNA1;DLG1;BMP2;CNOT7;SP2;BCL6;BHLHE40;MDM2;ZNF536;MDM4;MAFK;TCF3;MXD4;TCP10L;LDB1;CHD8;FHL2;HMGB1;FOXM1;IRF2BPL;INSL6;SDR16C5;HHEX;SUMO1;TRPS1;DNMT3B;HIST1H1B;TGIF1;TGIF2;H2AFY;ATRX;PEX2;DUSP26;ZFP90;ETV6;DUSP22;PPM1A;IMPACT;SFPQ;TRAF6;IRF2;IRF7;CRY1;EAPP;MCPH1;HDAC4;HDAC2;HDAC3;UHRF1;SRF;RNF8;DDX20;MOSPD1;CXXC5;HDAC8;RNF2;AURKB;DLL4;MXI1;TBX20;NRIP1;VHL;ZNF500;FNIP1;FNIP2;E2F6;E2F7;JAZF1;SNCA;TCFL5;ZNF189;IRX1;IGBP1;TCF7L2;CNBP;KLF4;ACVR2B;MEIS2;TBX3;TBX2;REST;DNAJA3;BRMS1L;TAF7;TRIM37;PAXBP1;TAF3;ATN1;CREBBP;CREM;DLG1;DUSP22;ETS2;ETV6;FHL2;FNIP1;GFI1B;HDAC4;HMBOX1;INSL6;IRF2;IRF2BPL;IRF7;IRX1;MAP2K5;MDFI;NCOR2;NEDD4;NEDD4L;NFIA;NR1D1;NR6A1;PHF12;PPARD;PRDM1;PROX2;PTCH1;RARB;RREB1;SATB1;STAT3;SUFU;TAF3;TBX2;TBX20;TCF7L2;TCP10L;TP73;TWIST1;UBE2D3;USP9X;VEGFA;WWC1;ZEB1;ZEB2;ZFHX3;ZMYND8;ZNF148;ZNF254;ZNF564;ZNF568
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ",Cluster_6,0.001320399,13,RPL4;RPL5;RPL30;SMG1;RPL3;RPL31;RPL34;RPLP1;EIF4A3;MRPS12;RPLP0;PPP2R2A;CASC3;RPL8;RPL10A;SMG7;RPL9;SMG8;RPL6;SMG5;RPL7;SMG6;RPS15;RPS4X;RPS14;RPS17;RPS16;RPS19;PPP2R1A;RPS18;RPL36;RPL35;RPL38;RPS11;RPS10;RPS13;UPF1;RPS9;RPL21;RPS7;NCBP1;RPS8;NCBP2;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;ETF1;RPL26;RPL29;RPL28;UBA52;RBM8A;RPL12;RPL11;RPL36A;GSPT2;GSPT1;PPP2CA;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;UPF3A;RPL23A;MAGOHB;PNRC1;PNRC2;RPS25;RPS29;RNPS1;SKIV2L;EIF3E;DCP1A;RPS21;RPS24;RPS23;RPL12;RPL13;RPL13A;RPL17;RPL21;RPL23A;RPL3;RPL4;RPL5;RPS13;RPS3A;RPS8;SMG6
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ",Cluster_4,4.92E-10,42,RPL4;RPL5;RPL30;SMG1;RPL3;RPL31;RPL34;RPLP1;EIF4A3;MRPS12;RPLP0;PPP2R2A;CASC3;RPL8;RPL10A;SMG7;RPL9;SMG8;RPL6;SMG5;RPL7;SMG6;RPS15;RPS4X;RPS14;RPS17;RPS16;RPS19;PPP2R1A;RPS18;RPL36;RPL35;RPL38;RPS11;RPS10;RPS13;UPF1;RPS9;RPL21;RPS7;NCBP1;RPS8;NCBP2;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;ETF1;RPL26;RPL29;RPL28;UBA52;RBM8A;RPL12;RPL11;RPL36A;GSPT2;GSPT1;PPP2CA;RPS15A;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;UPF3A;RPL23A;MAGOHB;PNRC1;PNRC2;RPS25;RPS29;RNPS1;SKIV2L;EIF3E;DCP1A;RPS21;RPS24;RPS23;MRPS12;NCBP2;RBM8A;RPL10A;RPL11;RPL14;RPL15;RPL18;RPL19;RPL24;RPL26;RPL27;RPL28;RPL29;RPL30;RPL31;RPL35;RPL35A;RPL36;RPL37A;RPL38;RPL8;RPLP0;RPLP1;RPS11;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS21;RPS23;RPS24;RPS25;RPS27A;RPS29;RPS4X;RPS5;RPS6;UBA52
GO:0000209,protein polyubiquitination ,Cluster_1,0.009457761,43,UBE2D4;UBE3D;UBE2D3;UBE2D1;UBE3A;FBXO21;PSMD8;PSMD9;NPEPPS;RNF114;PSMD7;CDC23;PSMD4;PSMD5;RUSC1;CDC26;PSMD2;RNF19A;PSMD3;CDC27;FBXO4;PSMD1;FBXO6;BTRC;SKP2;FBXO7;TRIM21;SKP1;MYLIP;FBXW12;FBXW5;NHLRC3;FBXW8;ANAPC7;FBXW7;FBXO2;UBE2E3;FBXW9;UBE2E1;UBE4A;FBXO15;LMO7;FBXO10;FBXO11;FBXW2;RNF41;RBX1;KLHL42;CDC34;HECW2;PSME3;PSME4;PSME1;UBE2V2;PSME2;ANAPC4;ANAPC5;RBCK1;UBA52;RNF122;ANAPC1;PSMD10;ANAPC13;PSMD12;CBFB;PSMD13;TNKS;CUL3;RNF180;CUL1;NEDD4L;UBR2;FBXO44;ANAPC10;SHARPIN;RNF216;UBB;RNF217;UBC;UBR5;BARD1;HACE1;SMURF2;UBE2C;SMURF1;LNPEP;BFAR;UBE2A;FBXO30;FBXO31;UBOX5;UBE2T;CDC16;MKRN1;UBE2O;TPP2;RNF181;FBXL3;FBXL5;FBXL4;UBE2K;DZIP3;RNF187;RNF14;BRCA1;PRPF19;TRIM69;ARIH1;UNKL;SHPRH;ZFP91;TOPORS;DDB2;PSMA5;RNF168;RNF144B;PSMA6;RNF167;PSMA3;PSMA4;PSMA1;PSMA2;TRAF6;PELI1;THOP1;RNF166;BIRC2;RNF34;PELI2;RNF8;RNF6;RNF4;TANK;RNF5;PSMA7;PSMB10;FBXL22;PSMA8;PSMB6;FBXL20;PSMB4;FZR1;ZNRF2;PSMB5;RNF139;TNKS2;HECTD2;PSMB3;UBE2NL;PSMB1;RBBP6;RPS27A;RNF20;PPIL2;RNF24;AMFR;RNF26;FBXL19;SYVN1;MIB2;HUWE1;WWP1;FBXL15;UBE2G2;FBXL13;FBXL14;PSMB8;CHFR;RNF145;PSMC5;SPSB1;PSMC3;PSMC4;ZNF738;PSMC1;NEDD4;PSMC2;TTC3;ERCC8;TRIM36;TRIP12;STUB1;ANAPC13;ANAPC5;ANAPC7;BRCA1;CDC23;FBXL14;FBXL19;FBXO10;FBXO2;FBXO7;FBXW5;MIB2;MKRN1;PPIL2;PRPF19;PSMA1;PSMA3;PSMC5;PSMD2;PSMD5;PSMD7;PSMD9;PSME2;PSME3;RBCK1;RNF114;RNF14;RNF167;RNF168;RNF20;RNF26;RNF34;RNF6;RNF8;RUSC1;SKP1;SKP2;THOP1;TOPORS;TRIM21;UBE2A;UBE2D4;UBE2V2
GO:0000245,spliceosomal complex assembly ,Cluster_1,0.000772484,13,TXNL4B;CELF1;YTHDC1;CELF2;DDX1;SRSF1;PRPF19;NOL3;SART3;SNRPD2;SNRPD1;SNRPD3;SMN1;TXNL4A;SF3B1;SRSF10;RBM5;NCBP1;SCAF11;CRNKL1;LSM4;SETX;GCFC2;PRPF6;DDX39B;SNRPG;LUC7L3;SNRPE;SNRNP200;LUC7L2;SRSF9;CRNKL1;DDX1;GCFC2;LUC7L2;PRPF19;PRPF6;SNRPD1;SNRPD3;SNRPE;SNRPG;SRSF1;SRSF9;TXNL4B
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay ",Cluster_1,2.01E-07,22,EIF4A2;ZCCHC6;EIF4A3;WDR61;EDC3;EDC4;EXOSC7;EXOSC6;ZFP36;EXOSC5;EXOSC4;EXOSC8;POLR2D;EXOSC3;EIF4E;EXOSC2;DCPS;EIF4B;EXOSC1;PAIP1;TTC37;CNOT6L;DIS3;SAMD4A;LSM1;RC3H1;CNOT10;LSM5;LSM4;LSM2;CNOT4;PAN2;NT5C3B;CNOT6;LSM7;CNOT7;PAN3;PDE12;CNOT11;SKIV2L;CNOT8;DCP1A;DCP2;CNOT10;CNOT11;CNOT7;DCP2;DCPS;EIF4A3;EIF4B;EXOSC1;EXOSC2;EXOSC3;EXOSC5;EXOSC6;EXOSC8;LSM1;LSM2;LSM5;LSM7;PAN2;PDE12;POLR2D;TTC37;WDR61
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic ",Cluster_1,4.71E-06,15,WDR61;EDC3;EDC4;EXOSC7;EXOSC6;EXOSC5;EXOSC4;EXOSC8;EXOSC3;DCPS;EXOSC2;EXOSC1;DIS3L2;TTC37;DIS3;LSM1;LSM5;LSM4;LSM2;NT5C3B;CNOT6;LSM7;CNOT7;SKIV2L;CNOT8;DCP1A;DCP2;CNOT7;DCP2;DCPS;EXOSC1;EXOSC2;EXOSC3;EXOSC5;EXOSC6;EXOSC8;LSM1;LSM2;LSM5;LSM7;TTC37;WDR61
GO:0000301,"retrograde transport, vesicle recycling within Golgi ",Cluster_1,0.004608739,3,GOLGA5;COG4;OPTN;COG4;GOLGA5;OPTN
GO:0000338,protein deneddylation ,Cluster_1,0.001124986,6,COPS4;COPS3;COPS6;COPS5;TOR1A;COPS2;GPS1;COPS7A;COPS8;COPS2;COPS3;COPS4;COPS5;COPS8;GPS1
GO:0000375,"RNA splicing, via transesterification reactions ",Cluster_1,0.002252657,10,SF3B4;SF3A3;DBR1;SF3B3;SCAF11;GEMIN2;LSM1;WDR83;SRRM1;PRPF4;SNRNP40;PRPF6;KHSRP;TRA2B;PRPF3;MPHOSPH10;SRSF4;TXNL4A;SF3B1;SRSF10;SMNDC1;SLU7;BCAS2;DBR1;GEMIN2;KHSRP;LSM1;MPHOSPH10;PRPF4;PRPF6;SF3A3;SF3B4;SNRNP40
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile ",Cluster_1,6.81E-14,72,DBR1;PDCD7;EIF4A3;GPATCH1;WDR83;HNRNPR;CASC3;CWC27;CCAR1;SNRPD2;CLP1;SNRPD1;RBMX2;CWC22;SNRPD3;TXNL4A;SNRNP35;SRRM2;AQR;SNRPN;METTL3;PRPF4B;ZCRB1;GTF2F1;WBP11;CRNKL1;CDC40;SRRM1;DHX40;PRPF4;DDX39A;PRPF6;DDX39B;HNRNPUL1;PSPC1;PRPF3;SNRPG;CD2BP2;SRSF3;SNRNP27;PPIE;GEMIN5;SRSF4;PPIH;SNRPE;GEMIN6;SNRPF;SNRNP25;GEMIN7;SNRPC;SNRNP200;SRSF7;SNRPA;SNRPB;SRSF9;DDX5;DHX8;RBM8A;DHX9;CSTF3;CSTF2;HTATSF1;RNPC3;ZMAT2;DHX35;PCBP2;CSTF1;DHX38;SYMPK;ZRSR1;CPSF4;PRPF38A;CPSF1;RBPMS;CPSF3;ALYREF;NONO;CPSF2;CWC15;MAGOHB;LSM5;LSM4;CHERP;LSM2;HNRNPL;HNRNPM;LSM7;HNRNPK;SNW1;HNRNPF;HNRNPD;RNPS1;HNRNPC;SUGP1;ISY1;PPWD1;DDX41;YBX1;PRPF19;USP39;ELAVL2;PQBP1;SYNCRIP;UBL5;PTBP1;METTL14;SART3;PCF11;RSRC1;DHX16;CTNNBL1;BCAS2;RBM5;RBM17;USP49;RBM15;NCBP1;NCBP2;BUD31;PRPF40B;PRPF40A;TFIP11;PLRG1;WDR33;GCFC2;SFPQ;SYF2;FRG1;HNRNPH2;NAA38;HNRNPH3;DNAJC8;CACTIN;SLU7;RBM22;SF3B4;SF3B5;SF3B2;SF3B3;SRSF1;RBM15B;PABPN1;POLR2A;FIP1L1;PUF60;U2AF2;POLR2B;POLR2C;TRA2B;TRA2A;POLR2D;POLR2E;POLR2F;SNRPB2;POLR2H;POLR2I;SF3B1;SRSF10;POLR2J;SMNDC1;SRSF11;POLR2K;POLR2L;HNRNPA0;SF3A3;SF3A1;PPIL1;HNRNPA3;GPKOW;CDC5L;U2SURP;XAB2;NUDT21;SNRNP40;PHF5A;HNRNPA2B1;PRPF31;BUD13;SNRNP48;RBMX;CASC3;CD2BP2;CDC40;CLP1;CPSF2;CPSF3;CPSF4;CRNKL1;CSTF1;CSTF2;DBR1;DDX39A;DDX41;DHX16;DHX38;DHX40;DHX8;EIF4A3;FRG1;GCFC2;HNRNPA0;HNRNPF;HNRNPK;HNRNPL;HNRNPR;HTATSF1;LSM2;LSM5;LSM7;MAGOHB;METTL3;NAA38;NONO;PABPN1;PHF5A;PLRG1;POLR2D;POLR2J;POLR2L;PPIE;PRPF19;PRPF31;PRPF38A;PRPF4;PRPF40B;PRPF6;PTBP1;PUF60;RBM22;RBMX2;RNPS1;SF3A1;SF3A3;SF3B2;SF3B4;SFPQ;SNRNP40;SNRNP48;SNRPB2;SNRPD1;SNRPD3;SNRPE;SNRPG;SNW1;SRSF1;SRSF3;SRSF7;SRSF9;TFIP11;U2AF2;USP39;YBX1
GO:0000387,spliceosomal snRNP assembly ,Cluster_1,0.000231696,15,GEMIN2;DDX20;PRPF19;SART3;SNRPD2;SNRPD1;TGS1;SNRPD3;SMN1;SRSF10;AAR2;SRSF12;PRMT5;PRMT7;USP4;LSM4;SNUPN;WDR77;PRPF6;CLNS1A;PRPF3;SNRPG;GEMIN4;CD2BP2;GEMIN5;STRAP;PRPF31;GEMIN6;SNRPE;GEMIN7;SNRPF;GEMIN8;SNRPC;SNRPB;RBM22;CD2BP2;CLNS1A;GEMIN2;PRMT5;PRMT7;PRPF19;PRPF31;PRPF6;RBM22;SNRPD1;SNRPD3;SNRPE;SNRPG;STRAP;WDR77
GO:0000398,"mRNA splicing, via spliceosome ",Cluster_1,2.33E-16,82,EIF4A3;GPATCH1;WDR83;HNRNPR;CCAR1;SNRPD2;CLP1;SNRPD1;SNRPD3;SRRM2;DDX17;AQR;SCAF11;METTL3;CRNKL1;CDC40;WDR77;SRRM1;DHX40;DDX39A;DDX39B;CLNS1A;CD2BP2;DHX8;DHX9;CSTF3;CSTF2;HTATSF1;RNPC3;DHX35;PCBP2;CSTF1;DHX38;SYMPK;ZRSR1;PRPF38A;MAGOHB;SNUPN;HNRNPL;HNRNPM;HNRNPK;SNW1;HNRNPF;HNRNPD;RNPS1;HNRNPC;CDK13;SUGP1;PRPF19;PQBP1;SYNCRIP;UBL5;PCF11;RSRC1;DHX16;PRMT5;PRMT7;PRPF40B;PRPF40A;WDR33;GCFC2;FRG1;STRAP;HNRNPH2;HNRNPH3;CACTIN;SLU7;SF3B4;SF3B5;SF3B2;SF3B3;RBM15B;SF3B1;SRSF10;DCPS;SRSF11;SF3A3;SF3A1;XAB2;NUDT21;PHF5A;HNRNPA2B1;PRPF31;DBR1;TXNL4B;PDCD7;GEMIN2;CASC3;CWC27;RBMX2;CWC22;TXNL4A;SNRNP35;SNRPN;PRPF4B;ZCRB1;GTF2F1;WBP11;PRPF4;PRPF6;HNRNPUL1;PSPC1;PRPF3;SNRPG;GEMIN4;SRSF3;SNRNP27;PPIE;GEMIN5;SRSF4;PPIH;SNRPE;GEMIN6;SNRPF;SNRNP25;GEMIN7;SNRPC;GEMIN8;SNRNP200;SRSF7;SNRPA;SNRPB;SRSF9;DDX5;RBM8A;DDX1;ZMAT2;SMN1;CPSF4;CPSF1;RBPMS;CPSF3;ALYREF;NONO;CPSF2;CWC15;LSM5;LSM4;CHERP;LSM2;LSM7;ISY1;CELF4;PPWD1;DDX41;YBX1;USP39;ELAVL2;PTBP1;METTL14;SART3;CTNNBL1;BCAS2;RBM5;RBM17;USP49;RBM15;NCBP1;NCBP2;BUD31;TFIP11;PLRG1;SFPQ;SYF2;NAA38;DNAJC8;RBM22;SRSF1;DDX20;RNF113A;PABPN1;POLR2A;FIP1L1;PUF60;U2AF2;POLR2B;TGS1;POLR2C;TRA2B;TRA2A;POLR2D;POLR2E;POLR2F;SNRPB2;POLR2H;POLR2I;POLR2J;SMNDC1;POLR2K;POLR2L;HNRNPA0;PPIL1;HNRNPA3;GPKOW;CDC5L;U2SURP;SNRNP40;BUD13;SNRNP48;RBMX;CASC3;CD2BP2;CDC40;CLNS1A;CLP1;CPSF2;CPSF3;CPSF4;CRNKL1;CSTF1;CSTF2;DBR1;DCPS;DDX1;DDX17;DDX39A;DDX41;DHX16;DHX38;DHX40;DHX8;EIF4A3;FRG1;GCFC2;GEMIN2;HNRNPA0;HNRNPF;HNRNPK;HNRNPL;HNRNPR;HTATSF1;LSM2;LSM5;LSM7;MAGOHB;METTL3;NAA38;NONO;PABPN1;PHF5A;PLRG1;POLR2D;POLR2J;POLR2L;PPIE;PRMT5;PRMT7;PRPF19;PRPF31;PRPF38A;PRPF4;PRPF40B;PRPF6;PTBP1;PUF60;RBM22;RBMX2;RNPS1;SF3A1;SF3A3;SF3B2;SF3B4;SFPQ;SNRNP40;SNRNP48;SNRPB2;SNRPD1;SNRPD3;SNRPE;SNRPG;SNW1;SRSF1;SRSF3;SRSF7;SRSF9;STRAP;TFIP11;TXNL4B;U2AF2;USP39;WDR77;YBX1
GO:0000460,maturation of 5.8S rRNA ,Cluster_1,0.001241743,8,WDR37;MAK16;NOL9;WDR12;FTSJ3;RPF1;NSA2;EXOSC10;EXOSC4;LAS1L;PDCD11;PES1;C1D;RRP15;SKIV2L2;EXOSC10;FTSJ3;LAS1L;MAK16;NOL9;PES1;RPF1;WDR12
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",Cluster_1,0.001409311,12,MRPS11;UTP23;FCF1;NOC4L;WDR46;RPS14;EMG1;RPS16;RPS19;PDCD11;BMS1;RRS1;RRP36;DCAF13;ABT1;NOP14;UTP6;RPS8;UTP3;KRR1;NGDN;UTP18;DIEXF;MRPS9;TBL3;TSR2;TSR1;RPS21;RPS24;ABT1;DCAF13;FCF1;MRPS9;NGDN;NOC4L;NOP14;RRS1;TBL3;TSR2;UTP23;WDR46
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",Cluster_1,0.004574746,5,RPL7L1;PES1;RPL35;NOL9;RPF2;WDR12;FTSJ3;RPL7;FTSJ3;NOL9;PES1;RPL7L1;WDR12
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",Cluster_1,2.15E-05,10,ABT1;NOP14;NOL9;WDR12;FTSJ3;EXOSC7;PDCD11;ERI1;ERI2;PES1;EXOSC8;RRS1;EXOSC3;RPS21;EXOSC2;ABT1;EXOSC2;EXOSC3;EXOSC8;FTSJ3;NOL9;NOP14;PES1;RRS1;WDR12
